"contID","ko","contig","rank","taxid","score"
"ko\:K00001\:contig00001","K00001","contig00001","k","2",100
"ko\:K00001\:contig00001","K00001","contig00001","p","1224",100
"ko\:K00001\:contig00001","K00001","contig00001","c","28216",100
"ko\:K00001\:contig00001","K00001","contig00001","o","32003",100
"ko\:K00001\:contig00001","K00001","contig00001","f","206379",100
"ko\:K00001\:contig00001","K00001","contig00001","g","914",100
"ko\:K00001\:contig00001","K00001","contig00001","s","915",33
"ko\:K00001\:contig00002","K00001","contig00002","k","2",100
"ko\:K00001\:contig00002","K00001","contig00002","p","1224",64
"ko\:K00001\:contig00002","K00001","contig00002","c","28211",40
