"contID","ko","contig","rank","taxid","score"
"ko\:K00001\:contig00001","K00001","contig00001","k","2",100
"ko\:K00001\:contig00001","K00001","contig00001","p","1224",100
"ko\:K00001\:contig00001","K00001","contig00001","c","28216",100
"ko\:K00001\:contig00001","K00001","contig00001","o","32003",100
"ko\:K00001\:contig00001","K00001","contig00001","f","206379",100
"ko\:K00001\:contig00001","K00001","contig00001","g","914",100
"ko\:K00001\:contig00001","K00001","contig00001","s","915",33
"ko\:K00001\:contig00002","K00001","contig00002","k","2",100
"ko\:K00001\:contig00002","K00001","contig00002","p","1224",64
"ko\:K00001\:contig00002","K00001","contig00002","c","28211",40
"ko\:K00001\:contig00002","K00001","contig00002","o","356",28
"ko\:K00001\:contig00002","K00001","contig00002","f","69277",16
"ko\:K00001\:contig00002","K00001","contig00002","g","68287",16
"ko\:K00001\:contig00002","K00001","contig00002","s","475067",4
"ko\:K00001\:contig00003","K00001","contig00003","k","2",100
"ko\:K00001\:contig00003","K00001","contig00003","p","201174",100
"ko\:K00001\:contig00003","K00001","contig00003","c","1760",100
"ko\:K00001\:contig00003","K00001","contig00003","o","2037",33
"ko\:K00001\:contig00003","K00001","contig00003","f","1762",33
"ko\:K00001\:contig00003","K00001","contig00003","g","1763",33
"ko\:K00001\:contig00003","K00001","contig00003","s","164757",17
"ko\:K00001\:contig00004","K00001","contig00004","k","2",100
"ko\:K00001\:contig00004","K00001","contig00004","p","1224",100
"ko\:K00001\:contig00004","K00001","contig00004","c","28216",48
"ko\:K00001\:contig00004","K00001","contig00004","o","80840",48
"ko\:K00001\:contig00004","K00001","contig00004","f","119060",44
"ko\:K00001\:contig00004","K00001","contig00004","g","32008",44
"ko\:K00001\:contig00004","K00001","contig00004","s","87882",40
"ko\:K00001\:contig00004","K00001","contig00004","s","87883",24
"ko\:K00001\:contig00005","K00001","contig00005","k","2",100
"ko\:K00001\:contig00005","K00001","contig00005","p","1224",100
"ko\:K00001\:contig00005","K00001","contig00005","c","28211",100
"ko\:K00001\:contig00005","K00001","contig00005","o","356",96
"ko\:K00001\:contig00005","K00001","contig00005","f","41294",80
"ko\:K00001\:contig00005","K00001","contig00005","g","1073",32
"ko\:K00001\:contig00005","K00001","contig00005","s","1076",32
"ko\:K00001\:contig00006","K00001","contig00006","k","2",100
"ko\:K00001\:contig00006","K00001","contig00006","p","1224",100
"ko\:K00001\:contig00006","K00001","contig00006","c","28211",100
"ko\:K00001\:contig00006","K00001","contig00006","o","356",100
"ko\:K00001\:contig00006","K00001","contig00006","f","82115",100
"ko\:K00001\:contig00006","K00001","contig00006","g","379",100
"ko\:K00001\:contig00006","K00001","contig00006","s","384",84
"ko\:K00001\:contig00007","K00001","contig00007","k","2",100
"ko\:K00001\:contig00007","K00001","contig00007","p","1224",92
"ko\:K00001\:contig00007","K00001","contig00007","c","1236",56
"ko\:K00001\:contig00007","K00001","contig00007","o","72274",36
"ko\:K00001\:contig00007","K00001","contig00007","f","135621",36
"ko\:K00001\:contig00007","K00001","contig00007","g","286",36
"ko\:K00001\:contig00007","K00001","contig00007","s","136849",20
"ko\:K00001\:contig00007","K00001","contig00007","s","50340",12
"ko\:K00001\:contig00008","K00001","contig00008","k","2",100
"ko\:K00001\:contig00008","K00001","contig00008","p","1224",100
"ko\:K00001\:contig00008","K00001","contig00008","c","28216",56
"ko\:K00001\:contig00008","K00001","contig00008","o","119069",22
"ko\:K00001\:contig00008","K00001","contig00008","f","206349",22
"ko\:K00001\:contig00008","K00001","contig00008","g","919",22
"ko\:K00001\:contig00008","K00001","contig00008","s","36861",11
"ko\:K00001\:contig00009","K00001","contig00009","k","2",100
"ko\:K00001\:contig00009","K00001","contig00009","p","1224",100
"ko\:K00001\:contig00009","K00001","contig00009","c","28211",100
"ko\:K00001\:contig00009","K00001","contig00009","o","356",95
"ko\:K00001\:contig00009","K00001","contig00009","f","41294",95
"ko\:K00001\:contig00009","K00001","contig00009","g","1073",42
"ko\:K00001\:contig00009","K00001","contig00009","s","1076",42
"ko\:K00001\:contig00010","K00001","contig00010","k","2",100
"ko\:K00001\:contig00010","K00001","contig00010","p","1224",100
"ko\:K00001\:contig00010","K00001","contig00010","c","28211",100
"ko\:K00001\:contig00010","K00001","contig00010","o","356",100
"ko\:K00001\:contig00010","K00001","contig00010","f","41294",100
"ko\:K00001\:contig00010","K00001","contig00010","g","374",100
